model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
A0_physics_no_arrhenius,4,Vmax (nM s⁻¹),0.024371339939479375,2.00296742914125,1.0123770559215017,53.333333333333336,66.66666666666666
A1_physics_plus_activity_category,4,Km (mM),-0.046411929961302834,1.3841760567337158,0.9772619957997892,26.666666666666668,60.0
A1_physics_plus_activity_category,4,Kcat (s⁻¹),-0.18706040207075025,3.2839304507029805,2.805183649130403,6.666666666666667,13.333333333333334
A1_physics_plus_activity_category,4,Vmax (nM s⁻¹),0.0448700999056153,1.9818137292126496,1.0786345448801018,20.0,73.33333333333333
A2_physics_plus_arrhenius,4,Km (mM),-0.187414056656924,1.4744874633105713,1.0439372279829613,33.33333333333333,53.333333333333336
A2_physics_plus_arrhenius,4,Kcat (s⁻¹),-0.08304149444058773,3.1367513223550323,2.674360088971895,6.666666666666667,13.333333333333334
A2_physics_plus_arrhenius,4,Vmax (nM s⁻¹),0.03555961227130544,1.9914495410272635,1.0325791136558202,46.666666666666664,73.33333333333333
A3_physics_plus_activity_and_arrhenius,4,Km (mM),0.0076870634581800434,1.3479206230937435,0.9515232244149224,20.0,60.0
A3_physics_plus_activity_and_arrhenius,4,Kcat (s⁻¹),-0.2504969446120582,3.3705351393217535,2.877436052785391,6.666666666666667,13.333333333333334
A3_physics_plus_activity_and_arrhenius,4,Vmax (nM s⁻¹),0.014282733392650737,2.0132967587715815,1.1049185976119424,20.0,73.33333333333333
A0_physics_no_arrhenius,5,Km (mM),-0.15369805622372068,1.3116862347025988,1.1117859821573903,20.0,26.666666666666668
A0_physics_no_arrhenius,5,Kcat (s⁻¹),0.5011488089507237,2.4277200357342155,1.9027478868399563,6.666666666666667,46.666666666666664
A0_physics_no_arrhenius,5,Vmax (nM s⁻¹),0.3574057068048774,1.8146256452771914,0.8678168540459349,46.666666666666664,80.0
A1_physics_plus_activity_category,5,Km (mM),0.8698774825951203,0.4405143991661695,0.39374418628929864,33.33333333333333,100.0
A1_physics_plus_activity_category,5,Kcat (s⁻¹),0.45888266780437725,2.528475897885833,2.0801386083673643,6.666666666666667,33.33333333333333
A1_physics_plus_activity_category,5,Vmax (nM s⁻¹),0.35944435136266095,1.8117448887194612,0.9073319379374202,46.666666666666664,73.33333333333333
A2_physics_plus_arrhenius,5,Km (mM),0.526128337276929,0.8406481274422308,0.6654091336256961,26.666666666666668,66.66666666666666
A2_physics_plus_arrhenius,5,Kcat (s⁻¹),0.5121951607596205,2.4006903568498714,1.9093030572764558,13.333333333333334,33.33333333333333
A2_physics_plus_arrhenius,5,Vmax (nM s⁻¹),0.35360666982330236,1.8199818014728046,0.8708048842058503,60.0,73.33333333333333
A3_physics_plus_activity_and_arrhenius,5,Km (mM),0.8696798472562518,0.44084880777334334,0.3994661809726098,40.0,93.33333333333333
A3_physics_plus_activity_and_arrhenius,5,Kcat (s⁻¹),0.45496147349495086,2.5376206322501895,2.0665182228120673,13.333333333333334,33.33333333333333
A3_physics_plus_activity_and_arrhenius,5,Vmax (nM s⁻¹),0.34111317845956246,1.837485931942156,0.9320494068843883,46.666666666666664,73.33333333333333
