model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
A3_physics_plus_activity_and_arrhenius,2,Kcat (s⁻¹),-0.9209806146737849,1.996889095303219,1.5603802842949952,11.76470588235294,11.76470588235294
A3_physics_plus_activity_and_arrhenius,2,Vmax (nM s⁻¹),-14.531278499459019,2.3108275490477523,1.9348815361978373,17.647058823529413,29.411764705882355
M1_raw_independent,3,Km (mM),-0.04599655385852386,1.5540525150562772,1.1692369049546139,29.411764705882355,29.411764705882355
M1_raw_independent,3,Kcat (s⁻¹),-1.2989646650103928,4.200431331604346,3.509362442673867,11.76470588235294,11.76470588235294
M1_raw_independent,3,Vmax (nM s⁻¹),-0.8730317997940853,0.9365559199918622,0.7584564044000264,23.52941176470588,58.82352941176471
M2_raw_chain,3,Km (mM),-0.04599655385852386,1.5540525150562772,1.1692369049546139,29.411764705882355,29.411764705882355
M2_raw_chain,3,Kcat (s⁻¹),-0.977204133420714,3.895412881051057,3.3098891705204156,0.0,11.76470588235294
M2_raw_chain,3,Vmax (nM s⁻¹),-0.5962477888183595,0.8645921585087053,0.6671196341511272,23.52941176470588,70.58823529411765
M3_physics_independent,3,Km (mM),0.14595027439923203,1.4042425951258097,1.1369967301667552,0.0,41.17647058823529
M3_physics_independent,3,Kcat (s⁻¹),-1.4766070431331757,4.3596968620012975,3.596360093661371,5.88235294117647,11.76470588235294
M3_physics_independent,3,Vmax (nM s⁻¹),-0.7822760143275287,0.9135842824230951,0.6083089507742909,41.17647058823529,82.35294117647058
M4_full_physics_chain,3,Km (mM),0.14595027439923203,1.4042425951258097,1.1369967301667552,0.0,41.17647058823529
M4_full_physics_chain,3,Kcat (s⁻¹),-1.3026424780677912,4.203789849440831,3.455158671004882,11.76470588235294,11.76470588235294
M4_full_physics_chain,3,Vmax (nM s⁻¹),-0.6469424023774006,0.8782139746211747,0.5365760394442767,52.94117647058824,76.47058823529412
A0_physics_no_arrhenius,3,Km (mM),-0.06796163229456642,1.5702846628796596,1.2238795422530437,29.411764705882355,29.411764705882355
A0_physics_no_arrhenius,3,Kcat (s⁻¹),-1.479635121867454,4.362361288031003,3.5668844486023983,11.76470588235294,11.76470588235294
A0_physics_no_arrhenius,3,Vmax (nM s⁻¹),-1.3794314221297355,1.0555959960493024,0.6727525229109959,52.94117647058824,70.58823529411765
A1_physics_plus_activity_category,3,Km (mM),0.2319817850981727,1.3316384414592248,1.0369189120290752,17.647058823529413,35.294117647058826
A1_physics_plus_activity_category,3,Kcat (s⁻¹),-1.3257505102274898,4.224830634812523,3.5419752911714726,5.88235294117647,11.76470588235294
A1_physics_plus_activity_category,3,Vmax (nM s⁻¹),0.32099956862600987,0.5638922984503315,0.4206594326950118,47.05882352941176,82.35294117647058
A2_physics_plus_arrhenius,3,Km (mM),0.14595027439923225,1.4042425951258097,1.1369967301667552,0.0,41.17647058823529
A2_physics_plus_arrhenius,3,Kcat (s⁻¹),-1.3026424780677912,4.203789849440831,3.4551586710048814,11.76470588235294,11.76470588235294
A2_physics_plus_arrhenius,3,Vmax (nM s⁻¹),-0.6469424023774004,0.8782139746211746,0.5365760394442767,52.94117647058824,76.47058823529412
A3_physics_plus_activity_and_arrhenius,3,Km (mM),0.23821578276898525,1.3262229804975343,1.0204013392774043,23.52941176470588,35.294117647058826
A3_physics_plus_activity_and_arrhenius,3,Kcat (s⁻¹),-1.3927745896123098,4.285274387513134,3.561808372043331,5.88235294117647,11.76470588235294
A3_physics_plus_activity_and_arrhenius,3,Vmax (nM s⁻¹),0.2918999136846475,0.5758487940548996,0.4437817790849022,35.294117647058826,88.23529411764706
M1_raw_independent,4,Km (mM),-0.12684117615567692,1.0573805277076884,0.8602659620783001,29.411764705882355,35.294117647058826
M1_raw_independent,4,Kcat (s⁻¹),-0.6810003696218547,4.146082460377948,3.2806647639611506,17.647058823529413,17.647058823529413
M1_raw_independent,4,Vmax (nM s⁻¹),-12.458308055600243,1.8895634525689897,1.5232349895327513,17.647058823529413,41.17647058823529
M2_raw_chain,4,Km (mM),-0.1268411761556767,1.0573805277076884,0.8602659620783002,29.411764705882355,35.294117647058826
M2_raw_chain,4,Kcat (s⁻¹),-0.5408077889547649,3.9694310591649815,3.0808720921798747,17.647058823529413,17.647058823529413
M2_raw_chain,4,Vmax (nM s⁻¹),-5.490439290564812,1.3122098514084672,1.0810959388296637,17.647058823529413,41.17647058823529
M3_physics_independent,4,Km (mM),0.6007531035509619,0.6293912901739314,0.5941971318875872,11.76470588235294,58.82352941176471
M3_physics_independent,4,Kcat (s⁻¹),-0.28316562083970886,3.6223915208100186,2.8270950240443877,5.88235294117647,23.52941176470588
M3_physics_independent,4,Vmax (nM s⁻¹),-11.949542337277157,1.8535037021220382,1.5168524967479364,11.76470588235294,29.411764705882355
M4_full_physics_chain,4,Km (mM),0.6007531035509618,0.6293912901739315,0.5941971318875872,11.76470588235294,58.82352941176471
M4_full_physics_chain,4,Kcat (s⁻¹),-0.2953109122881581,3.639494295992026,2.8435627099917995,11.76470588235294,17.647058823529413
M4_full_physics_chain,4,Vmax (nM s⁻¹),-11.10456391135831,1.7920116214427153,1.4808563432093624,11.76470588235294,29.411764705882355
