model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
A2_physics_plus_arrhenius,1,Vmax (nM s⁻¹),0.10604159631592414,1.2532357679312098,0.9740625129792417,22.22222222222222,44.44444444444444
A3_physics_plus_activity_and_arrhenius,1,Km (mM),0.39036555705460163,1.0250885534231677,0.7007171168172627,33.33333333333333,72.22222222222221
A3_physics_plus_activity_and_arrhenius,1,Kcat (s⁻¹),0.5689163281237336,1.9611318465905598,1.4940428485762243,27.77777777777778,33.33333333333333
A3_physics_plus_activity_and_arrhenius,1,Vmax (nM s⁻¹),0.1445080845085408,1.2259763165953497,0.9010316926338597,22.22222222222222,50.0
M1_raw_independent,2,Km (mM),-0.03344179444581541,1.2940694704893603,1.1016145999768332,17.647058823529413,29.411764705882355
M1_raw_independent,2,Kcat (s⁻¹),0.3539999921990816,2.769625879963908,2.303025651846142,5.88235294117647,17.647058823529413
M1_raw_independent,2,Vmax (nM s⁻¹),0.0959074430431821,2.076609448348252,1.0736160159770256,41.17647058823529,70.58823529411765
M2_raw_chain,2,Km (mM),-0.03344179444581541,1.2940694704893603,1.1016145999768332,17.647058823529413,29.411764705882355
M2_raw_chain,2,Kcat (s⁻¹),0.34133681057402077,2.796639861191749,2.4139116325679204,0.0,5.88235294117647
M2_raw_chain,2,Vmax (nM s⁻¹),0.05457914378221418,2.1235425529463083,1.171610343823904,17.647058823529413,64.70588235294117
M3_physics_independent,2,Km (mM),0.5423380952146223,0.8611661741029918,0.6726570772192098,29.411764705882355,58.82352941176471
M3_physics_independent,2,Kcat (s⁻¹),0.37300562664064585,2.728579857437358,2.102415689642533,23.52941176470588,29.411764705882355
M3_physics_independent,2,Vmax (nM s⁻¹),0.3488856383212767,1.762288536098466,0.8274128451038287,52.94117647058824,70.58823529411765
M4_full_physics_chain,2,Km (mM),0.5423380952146223,0.8611661741029918,0.6726570772192098,29.411764705882355,58.82352941176471
M4_full_physics_chain,2,Kcat (s⁻¹),0.42380646747921924,2.6157066510926725,2.048597448085757,23.52941176470588,23.52941176470588
M4_full_physics_chain,2,Vmax (nM s⁻¹),0.29454568041795626,1.834352632266136,0.839153215664325,64.70588235294117,70.58823529411765
A0_physics_no_arrhenius,2,Km (mM),-0.09706345339131528,1.3333079070483596,1.1028955343663402,23.52941176470588,41.17647058823529
A0_physics_no_arrhenius,2,Kcat (s⁻¹),0.4060530039625142,2.6556980345084535,2.1092349614068246,5.88235294117647,23.52941176470588
A0_physics_no_arrhenius,2,Vmax (nM s⁻¹),0.14814090911182043,2.0157295383439777,0.9842896252411681,47.05882352941176,70.58823529411765
A1_physics_plus_activity_category,2,Km (mM),0.8109664612325984,0.5534571637010173,0.44698189201018945,41.17647058823529,82.35294117647058
A1_physics_plus_activity_category,2,Kcat (s⁻¹),0.3416840355810141,2.7959026169350136,2.1322289270792116,29.411764705882355,35.294117647058826
A1_physics_plus_activity_category,2,Vmax (nM s⁻¹),0.305294723054901,1.8203239268626887,0.8476189791052323,52.94117647058824,70.58823529411765
A2_physics_plus_arrhenius,2,Km (mM),0.5423380952146223,0.8611661741029918,0.6726570772192096,29.411764705882355,58.82352941176471
A2_physics_plus_arrhenius,2,Kcat (s⁻¹),0.42380646747921924,2.6157066510926725,2.048597448085757,23.52941176470588,23.52941176470588
A2_physics_plus_arrhenius,2,Vmax (nM s⁻¹),0.29454568041795604,1.8343526322661363,0.8391532156643249,64.70588235294117,70.58823529411765
A3_physics_plus_activity_and_arrhenius,2,Km (mM),0.8145639614239957,0.5481654401359738,0.4436677451447645,41.17647058823529,82.35294117647058
A3_physics_plus_activity_and_arrhenius,2,Kcat (s⁻¹),0.33517867027337866,2.8096829716108704,2.1477986673069283,29.411764705882355,35.294117647058826
A3_physics_plus_activity_and_arrhenius,2,Vmax (nM s⁻¹),0.3256700968908842,1.793430652149801,0.8252740836787247,52.94117647058824,64.70588235294117
M1_raw_independent,3,Km (mM),-0.6992356650503933,1.6571331176111685,1.3570510454023912,0.0,41.17647058823529
M1_raw_independent,3,Kcat (s⁻¹),0.22519383614836785,2.8058238353088236,2.1527798448051843,17.647058823529413,29.411764705882355
M1_raw_independent,3,Vmax (nM s⁻¹),0.32680949498533085,1.1348085897902407,0.827764356600344,29.411764705882355,64.70588235294117
M2_raw_chain,3,Km (mM),-0.6992356650503933,1.6571331176111685,1.3570510454023912,0.0,41.17647058823529
